Gene,name,region_length,reads,count,cpm_srr,fpkm_srr,srr_abundance
YGL102C,YGL102C,429,4,10948,2739.818588372789,6401.445299936422,preferentially_represented
YLR339C,YLR339C,552,5,9014,2255.8206755199412,4094.0484129218535,preferentially_represented
YOL086C,YOL086C,1047,9,49880,12482.841723422971,11933.88310078678,preferentially_represented
YJR009C,YJR009C,999,8,22886,5727.392054576145,5738.869794164474,preferentially_represented
YCR012W,YCR012W,1251,9,24782,6201.880184239537,4961.504147391629,preferentially_represented
YKL096W-A,YKL096W-A,279,2,12358,3092.6815961920825,11124.753943136988,preferentially_represented
YEL034W,YEL034W,474,3,16579,4149.018302578778,6892.05698102787,preferentially_represented
YKL153W,YKL153W,510,3,12402,3103.692924095664,6097.628534569083,preferentially_represented
YKL152C,YKL152C,744,4,18208,4556.687692463623,6132.823273840676,preferentially_represented
YDR524C-B,YDR524C-B,201,1,4458,1115.6477225946192,4667.982102906357,preferentially_represented
YLR076C,YLR076C,423,2,10448,2614.689862195734,6195.947540748184,preferentially_represented
YLR325C,YLR325C,237,1,4870,1218.7537929645123,5164.210987137763,preferentially_represented
YPL131W,YPL131W,894,3,16983,4250.122313329838,4759.375490850883,preferentially_represented
YLR075W,YLR075W,666,2,16131,4036.902963924137,6070.530772818251,preferentially_represented
YLR029C,YLR029C,615,0,13848,3465.5652001997055,5644.242997067924,preferentially_represented
YLR110C,YLR110C,402,0,60722,15196.133021846224,37895.59357068884,preferentially_represented
