category	region_id	feature	chrom	start	end	length	strand
gene	YAL045C	gene	I	57487	57796	309	-
gene	YAL044W-A	gene	I	57517	57850	333	+
gene	YAL044C	gene	I	57949	58462	513	-
gene	YAL043C	gene	I	58694	61052	2358	-
gene	YAL042C-A	gene	I	61230	61608	378	-
gene	YAL042W	gene	I	61315	62563	1248	+
gene	YAL041W	gene	I	62839	65404	2565	+
gene	YAL040C	gene	I	65777	67520	1743	-
gene	YAL039C	gene	I	68715	69525	810	-
Replication_origins	ARS106	ARS	I	70299	70469	170	.
Replication_origins	ARS106_ARS_consensus_sequence	ARS_consensus_sequence	I	70417	70434	17	-
gene	YAL038W	gene	I	71785	73288	1503	+
gene	YAL037C-B	gene	I	72325	73300	975	-
gene	YAL037C-A	gene	I	73425	73518	93	-
gene	YAL037W	gene	I	74019	74823	804	+
gene	YAL036C	gene	I	75042	76152	1110	-
gene	YAL035W	gene	I	76426	79435	3009	+
gene	YAL034C-B	gene	I	79488	79842	354	-
gene	YAL034W-A	gene	I	79717	80587	870	+
gene	YAL034C	gene	I	80709	81951	1242	-
gene	YAL033W	gene	I	82705	83227	522	+
gene	YAL032C	gene	I	83334	84474	1140	-
gene	YAL031W-A	gene	I	84668	84977	309	+
gene	YAL031C	gene	I	84748	87031	2283	-
gene	YAL030W	gene	I	87285	87752	467	+
gene	YAL029C	gene	I	87854	92270	4416	-
gene	YAL028W	gene	I	92899	94486	1587	+
gene	YAL027W	gene	I	94686	95472	786	+
gene	YAL026C-A	gene	I	95385	95823	438	-
gene	YAL026C	gene	I	95629	99697	4068	-
ncRNA_gene	HRA1	ncRNA_gene	I	99304	99868	564	+
gene	YAL025C	gene	I	100224	101145	921	-
gene	YAL024C	gene	I	101564	105872	4308	-
gene	YAL023C	gene	I	106271	108551	2280	-
gene	YAL022C	gene	I	108876	110430	1554	-
gene	YAL021C	gene	I	110845	113359	2514	-
gene	YAL020C	gene	I	113613	114615	1002	-
gene	YAL019W-A	gene	I	114249	114819	570	+
gene	YAL019W	gene	I	114918	118314	3396	+
gene	YAL018C	gene	I	118563	119541	978	-
gene	YAL017W	gene	I	120224	124295	4071	+
gene	YAL016C-B	gene	I	124306	124492	186	-
Replication_origins	ARS107	ARS	I	124348	124597	249	.
Replication_origins	ARS107_ARS_consensus_sequence	ARS_consensus_sequence	I	124462	124479	17	-
gene	YAL016C-A	gene	I	124754	125069	315	-
gene	YAL016W	gene	I	124878	126786	1908	+
gene	YAL015C	gene	I	126902	128102	1200	-
gene	YAL014C	gene	I	128251	129019	768	-
gene	YAL013W	gene	I	129269	130487	1218	+
gene	YAL012W	gene	I	130798	131983	1185	+
gene	YAL011W	gene	I	132198	134076	1878	+
gene	YAL010C	gene	I	134183	135665	1482	-
gene	YAL009W	gene	I	135853	136633	780	+
gene	YAL008W	gene	I	136913	137510	597	+
gene	YAL007C	gene	I	137697	138345	648	-
transposable_elements	YALCdelta2	long_terminal_repeat	I	138830	138992	162	-
tRNA_gene	tP%28UGG%29A	tRNA_gene	I	139151	139254	103	+
gene	YAL005C	gene	I	139502	141431	1929	-
gene	YAL004W	gene	I	140759	141407	648	+
gene	YAL003W	gene	I	142173	143160	987	+
snoRNA_gene	snR18	snoRNA_gene	I	142366	142468	102	+
gene	YAL002W	gene	I	143706	147531	3825	+
Replication_origins	ARS108	ARS	I	147397	147717	320	.
gene	YAL001C	gene	I	147593	151166	3573	-
centromere	CEN1	centromere	I	151464	151582	118	+
centromere	CEN1_centromere_DNA_Element_I	centromere_DNA_Element_I	I	151464	151474	10	+
centromere	CEN1_centromere_DNA_Element_II	centromere_DNA_Element_II	I	151474	151557	83	+
centromere	CEN1_centromere_DNA_Element_III	centromere_DNA_Element_III	I	151557	151582	25	+
gene	YAR002W	gene	I	152256	153876	1620	+
gene	YAR002C-A	gene	I	154064	154724	660	-
gene	YAR003W	gene	I	155004	156285	1281	+
gene	YAR007C	gene	I	156753	158619	1866	-
gene	YAR008W	gene	I	158965	159793	828	+
Replication_origins	ARS109	ARS	I	159906	160127	221	.
Replication_origins	ARS109_ARS_consensus_sequence_1	ARS_consensus_sequence	I	159934	159945	11	-
Replication_origins	ARS109_ARS_consensus_sequence_2	ARS_consensus_sequence	I	159951	159966	15	+
transposable_elements	YARCdelta3	long_terminal_repeat	I	160104	160237	133	-
transposable_elements	YARCdelta4	long_terminal_repeat	I	160237	160574	337	-
transposable_elements	YARCTy1-1	LTR_retrotransposon	I	160237	166162	5925	-
transposable_elements	YAR009C	transposable_element_gene	I	160596	164187	3591	-
transposable_elements	YAR010C	transposable_element_gene	I	164543	165866	1323	-
transposable_elements	YARCdelta5	long_terminal_repeat	I	165825	166162	337	-
tRNA_gene	tA%28UGC%29A	tRNA_gene	I	166266	166339	73	+
gene	YAR014C	gene	I	166741	168871	2130	-
gene	YAR015W	gene	I	169374	170295	921	+
gene	YAR018C	gene	I	170395	171703	1308	-
gene	YAR019C	gene	I	172210	175135	2925	-
gene	YAR019W-A	gene	I	174997	175330	333	+
Replication_origins	ARS110	ARS	I	176156	176404	248	.
Replication_origins	ARS110_ARS_consensus_sequence	ARS_consensus_sequence	I	176231	176248	17	+
gene	YAR020C	gene	I	176855	177023	168	-
gene	YAR023C	gene	I	179280	179820	540	-
tRNA_gene	tL%28CAA%29A	tRNA_gene	I	181140	181254	114	+
tRNA_gene	tS%28AGA%29A	tRNA_gene	I	182521	182603	82	-
transposable_elements	YARWsigma1	long_terminal_repeat	I	182619	182959	340	+
transposable_elements	YARWdelta6	long_terminal_repeat	I	183141	183474	333	+
gene	YAR027W	gene	I	183769	184477	708	+
gene	YAR028W	gene	I	184891	185596	705	+
gene	YAR029W	gene	I	186320	186545	225	+
gene	YAR030C	gene	I	186511	186853	342	-
gene	YAR031W	gene	I	186835	187732	897	+
gene	YAR033W	gene	I	188106	188811	705	+
transposable_elements	YARWdelta7	long_terminal_repeat	I	189425	189757	332	+
gene	YAR035W	gene	I	190192	192256	2064	+
gene	YAR035C-A	gene	I	192336	192417	81	-
gene	YAR042W	gene	I	192618	196185	3567	+
gene	YAR047C	gene	I	201466	201787	321	-
gene	YAR050W	gene	I	203402	208016	4614	+
gene	YAR053W	gene	I	208366	208663	297	+
transposable_elements	YARCdelta8	long_terminal_repeat	I	209447	209778	331	-
Replication_origins	ARS111	ARS	I	214887	215644	757	.
Replication_origins	ARS111_ARS_consensus_sequence	ARS_consensus_sequence	I	215011	215028	17	-
gene	YAR060C	gene	I	217156	217492	336	-
pseudogene	YAR061W	pseudogene	I	218139	219145	1006	+
gene	YAR064W	gene	I	220197	220497	300	+
gene	YAR066W	gene	I	221048	221660	612	+
gene	YAR068W	gene	I	222405	222891	486	+
Replication_origins	ARS112	ARS	I	222879	224046	1167	.
gene	YAR069C	gene	I	224010	224304	294	-
gene	YAR070C	gene	I	224562	224862	300	-
gene	YAR071W	gene	I	225459	226863	1404	+
gene	YAR073W	gene	I	227741	228953	1212	+
gene	YAR075W	gene	I	228843	229317	474	+
telomere	TEL01R	telomere	I	229410	230218	808	+
telomere	TEL01R_telomeric_repeat	telomeric_repeat	I	230120	230218	98	+
telomere	TEL02L	telomere	II	0	6608	6608	-
Replication_origins	ARS200	ARS	II	39	202	163	.
gene	YBL113C	gene	II	279	2658	2379	-
gene	YBL113W-A	gene	II	645	1128	483	+
gene	YBL112C	gene	II	2581	2899	318	-
gene	YBL111C	gene	II	2906	5009	2103	-
gene	YBL109W	gene	II	5789	6125	336	+
Replication_origins	ARS201	ARS	II	6497	6620	123	.
gene	YBL108C-A	gene	II	7604	7733	129	-
gene	YBL108W	gene	II	8176	8482	306	+
transposable_elements	YBLWdelta1	long_terminal_repeat	II	8847	9092	245	+
transposable_elements	YBLWdelta2	long_terminal_repeat	II	9092	9424	332	+
gene	YBL107W-A	gene	II	9267	9372	105	+
transposable_elements	YBLWdelta3	long_terminal_repeat	II	9424	9518	94	+
tRNA_gene	tL%28UAA%29B1	tRNA_gene	II	9582	9666	84	+
gene	YBL107C	gene	II	9960	10551	591	-
gene	YBL106C	gene	II	10846	13879	3033	-
gene	YBL105C	gene	II	14240	17696	3456	-
gene	YBL104C	gene	II	18176	21293	3117	-
gene	YBL103C	gene	II	22075	23536	1461	-
gene	YBL102W	gene	II	24097	24745	648	+
gene	YBL101C	gene	II	24945	28299	3354	-
gene	YBL100W-C	gene	II	28426	28546	120	+
Replication_origins	ARS230	ARS	II	28941	29160	219	.
transposable_elements	YBLWdelta4	long_terminal_repeat	II	29643	29975	332	+
transposable_elements	YBLWTy2-1	LTR_retrotransposon	II	29643	35602	5959	+
transposable_elements	YBL100W-A	transposable_element_gene	II	29934	31251	1317	+
transposable_elements	YBL100W-B	transposable_element_gene	II	29934	35248	5314	+
transposable_elements	YBLWdelta5	long_terminal_repeat	II	35270	35602	332	+
transposable_elements	YBLWdelta6	long_terminal_repeat	II	35603	35796	193	+
transposable_elements	YBLCtau1	long_terminal_repeat	II	35850	36221	371	-
tRNA_gene	tF%28GAA%29B	tRNA_gene	II	36397	36488	91	+
gene	YBL100C	gene	II	36988	37303	315	-
gene	YBL099W	gene	II	37052	38690	1638	+
gene	YBL098W	gene	II	39144	40527	1383	+
gene	YBL097W	gene	II	40830	43095	2265	+
gene	YBL096C	gene	II	43173	43482	309	-
gene	YBL095W	gene	II	43276	44089	813	+
gene	YBL094C	gene	II	43764	44097	333	-
gene	YBL093C	gene	II	44255	44918	663	-
gene	YBL092W	gene	II	45644	46370	726	+
gene	YBL091C-A	gene	II	46564	47180	616	-
gene	YBL091C	gene	II	47362	48628	1266	-
gene	YBL090W	gene	II	48824	49358	534	+
gene	YBL089W	gene	II	49573	50953	1380	+
gene	YBL088C	gene	II	51018	59382	8364	-
gene	YBL087C	gene	II	59821	60739	918	-
gene	YBL086C	gene	II	61201	62602	1401	-
Replication_origins	ARS202	ARS	II	63258	63381	123	.
gene	YBL085W	gene	II	63875	66818	2943	+
gene	YBL084C	gene	II	67168	69445	2277	-
gene	YBL083C	gene	II	69712	70138	426	-
gene	YBL082C	gene	II	69750	71127	1377	-
gene	YBL081W	gene	II	71865	72972	1107	+
gene	YBL080C	gene	II	73069	74695	1626	-
gene	YBL079W	gene	II	75258	79767	4509	+
gene	YBL078C	gene	II	80377	80731	354	-
gene	YBL077W	gene	II	80896	81328	432	+
gene	YBL076C	gene	II	81042	84261	3219	-
gene	YBL075C	gene	II	84498	86448	1950	-
gene	YBL074C	gene	II	86721	87789	1068	-
gene	YBL073W	gene	II	87645	87957	312	+
snoRNA_gene	snR56	snoRNA_gene	II	88189	88277	88	+
gene	YBL072C	gene	II	88522	89440	918	-
gene	YBL071C-B	gene	II	89457	89556	99	-
gene	YBL071W-A	gene	II	89977	90226	249	+
gene	YBL071C	gene	II	90222	90531	309	-
gene	YBL070C	gene	II	90604	90925	321	-
gene	YBL069W	gene	II	90740	92030	1290	+
gene	YBL068W-A	gene	II	91793	92030	237	+
gene	YBL068W	gene	II	92413	93394	981	+
Replication_origins	ARS203	ARS	II	93434	93519	85	.
gene	YBL067C	gene	II	93638	95882	2244	-
gene	YBL066C	gene	II	96668	100115	3447	-
gene	YBL065W	gene	II	99962	100307	345	+
gene	YBL064C	gene	II	100370	101156	786	-
gene	YBL063W	gene	II	101885	105221	3336	+
gene	YBL062W	gene	II	105307	105688	381	+
gene	YBL061C	gene	II	105315	107406	2091	-
gene	YBL060W	gene	II	107931	109995	2064	+
gene	YBL059C-A	gene	II	110124	110539	415	-
gene	YBL059W	gene	II	110593	111244	651	+
gene	YBL058W	gene	II	111436	112708	1272	+
gene	YBL057C	gene	II	112800	113427	627	-
gene	YBL056W	gene	II	113761	115168	1407	+
gene	YBL055C	gene	II	115572	116829	1257	-
gene	YBL054W	gene	II	117588	119166	1578	+
gene	YBL053W	gene	II	119334	119709	375	+
gene	YBL052C	gene	II	119378	121874	2496	-
gene	YBL051C	gene	II	122752	124759	2007	-
gene	YBL050W	gene	II	125124	126119	995	+
gene	YBL049W	gene	II	126827	127244	417	+
gene	YBL048W	gene	II	127298	127610	312	+
gene	YBL047C	gene	II	127894	132040	4146	-
gene	YBL046W	gene	II	132423	133749	1326	+
gene	YBL045C	gene	II	134142	135516	1374	-
gene	YBL044W	gene	II	135997	136366	369	+
gene	YBL043W	gene	II	136687	137461	774	+
gene	YBL042C	gene	II	138340	140260	1920	-
gene	YBL041W	gene	II	141246	141972	726	+
gene	YBL040C	gene	II	142111	142868	757	-
gene	YBL039W-B	gene	II	143392	143572	180	+
Replication_origins	ARS206	ARS	II	143657	143745	88	.
gene	YBL039C	gene	II	143988	145728	1740	-
gene	YBL039C-A	gene	II	144947	145031	84	-
gene	YBL038W	gene	II	146186	146885	699	+
gene	YBL037W	gene	II	147208	150286	3078	+
gene	YBL036C	gene	II	150446	151220	774	-
gene	YBL035C	gene	II	151492	153610	2118	-
gene	YBL034C	gene	II	153847	158389	4542	-
gene	YBL033C	gene	II	158655	159693	1038	-
gene	YBL032W	gene	II	160183	161329	1146	+
gene	YBL031W	gene	II	161698	162715	1017	+
gene	YBL030C	gene	II	163040	163997	957	-
gene	YBL029C-A	gene	II	164487	164772	285	-
gene	YBL029W	gene	II	166133	167264	1131	+
gene	YBL028C	gene	II	167517	167838	321	-
gene	YBL027W	gene	II	168422	169376	954	+
Replication_origins	ARS207	ARS	II	170172	170279	107	.
Replication_origins	ARS207_ARS_consensus_sequence	ARS_consensus_sequence	II	170206	170223	17	-
gene	YBL026W	gene	II	170622	171038	416	+
gene	YBL025W	gene	II	171480	171918	438	+
gene	YBL024W	gene	II	172533	174588	2055	+
gene	YBL023C	gene	II	174919	177526	2607	-
gene	YBL022C	gene	II	177873	181275	3402	-
gene	YBL021C	gene	II	181659	182094	435	-
gene	YBL020W	gene	II	182400	184125	1725	+
gene	YBL019W	gene	II	184352	185915	1563	+
gene	YBL018C	gene	II	185997	186474	477	-
gene	YBL017C	gene	II	186843	191583	4740	-
gene	YBL016W	gene	II	192450	193512	1062	+
gene	YBL015W	gene	II	194121	195702	1581	+
transposable_elements	YBLCdelta7	long_terminal_repeat	II	197015	197320	305	-
tRNA_gene	tI%28AAU%29B	tRNA_gene	II	197493	197567	74	+
tRNA_gene	tG%28GCC%29B	tRNA_gene	II	197628	197699	71	-
transposable_elements	YBLWsigma1	long_terminal_repeat	II	197713	198054	341	+
Replication_origins	ARS231	ARS	II	198312	198473	161	.
Replication_origins	ARS231_ARS_consensus_sequence	ARS_consensus_sequence	II	198368	198385	17	-
gene	YBL014C	gene	II	199063	201748	2685	-
gene	YBL013W	gene	II	202055	203261	1206	+
gene	YBL012C	gene	II	203405	203807	402	-
gene	YBL011W	gene	II	203537	205817	2280	+
gene	YBL010C	gene	II	206106	206949	843	-
gene	YBL009W	gene	II	207193	209224	2031	+
gene	YBL008W-A	gene	II	209408	209648	240	+
gene	YBL008W	gene	II	209652	212175	2523	+
gene	YBL007C	gene	II	212631	216366	3735	-
gene	YBL006C	gene	II	216586	217129	543	-
gene	YBL006W-A	gene	II	216710	216860	150	+
gene	YBL005W	gene	II	217469	220400	2931	+
transposable_elements	YBLWdelta8	long_terminal_repeat	II	220894	221036	142	+
transposable_elements	YBLWdelta9	long_terminal_repeat	II	221036	221370	334	+
transposable_elements	YBLWTy1-1	LTR_retrotransposon	II	221036	226952	5916	+
transposable_elements	YBL005W-A	transposable_element_gene	II	221329	222652	1323	+
transposable_elements	YBL005W-B	transposable_element_gene	II	221329	226598	5269	+
transposable_elements	YBLWdelta10	long_terminal_repeat	II	226620	226952	332	+
tRNA_gene	tS%28AGA%29B	tRNA_gene	II	227074	227156	82	+
gene	YBL004W	gene	II	227635	235117	7482	+
gene	YBL003C	gene	II	235393	235792	399	-
gene	YBL002W	gene	II	236491	236887	396	+
gene	YBL001C	gene	II	237152	237467	315	-
Replication_origins	ARS208	ARS	II	237786	237900	114	.
Replication_origins	ARS208_ARS_consensus_sequence	ARS_consensus_sequence	II	237818	237835	17	-
centromere	CEN2	centromere	II	238206	238323	117	+
centromere	CEN2_centromere_DNA_Element_I	centromere_DNA_Element_I	II	238206	238216	10	+
centromere	CEN2_centromere_DNA_Element_II	centromere_DNA_Element_II	II	238216	238298	82	+
centromere	CEN2_centromere_DNA_Element_III	centromere_DNA_Element_III	II	238298	238323	25	+
gene	YBR001C	gene	II	238940	241283	2343	-
gene	YBR002C	gene	II	241707	242568	861	-
gene	YBR003W	gene	II	242808	244230	1422	+
gene	YBR004C	gene	II	244365	245667	1302	-
gene	YBR005W	gene	II	245905	246547	642	+
gene	YBR006W	gene	II	247009	248503	1494	+
gene	YBR007C	gene	II	248805	251016	2211	-
gene	YBR008C	gene	II	252562	254209	1647	-
Replication_origins	ARS209	ARS	II	254997	255083	86	.
Replication_origins	ARS209_ARS_consensus_sequence	ARS_consensus_sequence	II	255024	255041	17	-
gene	YBR009C	gene	II	255372	255684	312	-
gene	YBR010W	gene	II	256330	256741	411	+
gene	YBR011C	gene	II	257111	257975	864	-
transposable_elements	YBRCdelta11	long_terminal_repeat	II	258669	258976	307	-
gene	YBR012C	gene	II	259146	259566	420	-
transposable_elements	YBRWdelta12	long_terminal_repeat	II	259577	259909	332	+
transposable_elements	YBRWTy1-2	LTR_retrotransposon	II	259577	265494	5917	+
transposable_elements	YBR012W-A	transposable_element_gene	II	259868	261191	1323	+
transposable_elements	YBR012W-B	transposable_element_gene	II	259868	265140	5272	+
transposable_elements	YBRWdelta13	long_terminal_repeat	II	265162	265494	332	+
gene	YBR013C	gene	II	265491	265881	390	-
transposable_elements	YBRCdelta14	long_terminal_repeat	II	266177	266256	79	-
tRNA_gene	tT%28AGU%29B	tRNA_gene	II	266377	266450	73	+
gene	YBR014C	gene	II	266724	267336	612	-
gene	YBR015C	gene	II	267709	269503	1794	-
gene	YBR016W	gene	II	270246	270633	387	+
gene	YBR017C	gene	II	270946	273703	2757	-
gene	YBR018C	gene	II	274426	275527	1101	-
gene	YBR019C	gene	II	276252	278352	2100	-
gene	YBR020W	gene	II	279020	280607	1587	+
gene	YBR021W	gene	II	281442	283344	1902	+
gene	YBR022W	gene	II	283737	284271	534	+
gene	YBR023C	gene	II	284427	287925	3498	-
gene	YBR024W	gene	II	289444	290350	906	+
gene	YBR025C	gene	II	290680	291865	1185	-
gene	YBR026C	gene	II	292876	294019	1143	-
gene	YBR027C	gene	II	294023	294356	333	-
gene	YBR028C	gene	II	294424	296002	1578	-
gene	YBR029C	gene	II	296368	297742	1374	-
gene	YBR030W	gene	II	298291	299950	1659	+
gene	YBR031W	gene	II	300165	301254	1089	+
gene	YBR032W	gene	II	301518	301821	303	+
gene	YBR033W	gene	II	301943	304703	2760	+
gene	YBR034C	gene	II	304929	305976	1047	-
gene	YBR035C	gene	II	306268	306955	687	-
snoRNA_gene	snR161	snoRNA_gene	II	307184	307345	161	-
gene	YBR036C	gene	II	309080	310313	1233	-
gene	YBR037C	gene	II	310564	311452	888	-
gene	YBR038W	gene	II	311897	314789	2892	+
gene	YBR039W	gene	II	315574	316510	936	+
gene	YBR040W	gene	II	316967	317864	897	+
gene	YBR041W	gene	II	318265	320275	2010	+
gene	YBR042C	gene	II	320415	321609	1194	-
gene	YBR043C	gene	II	321875	323945	2070	-
gene	YBR044C	gene	II	324340	326059	1719	-
Replication_origins	ARS211	ARS	II	326139	326375	236	.
Replication_origins	ARS211_ARS_consensus_sequence	ARS_consensus_sequence	II	326152	326169	17	+
tRNA_gene	tV%28UAC%29B	tRNA_gene	II	326791	326865	74	-
transposable_elements	YBRWdelta15	long_terminal_repeat	II	327068	327394	326	+
transposable_elements	YBRWdelta16	long_terminal_repeat	II	327389	327704	315	+
gene	YBR045C	gene	II	328172	330092	1920	-
gene	YBR046C	gene	II	330506	331511	1005	-
gene	YBR047W	gene	II	331832	332360	528	+
gene	YBR048W	gene	II	332830	333812	982	+
gene	YBR049C	gene	II	334385	336818	2433	-
gene	YBR050C	gene	II	337182	338199	1017	-
gene	YBR051W	gene	II	337987	338338	351	+
gene	YBR052C	gene	II	338719	339352	633	-
gene	YBR053C	gene	II	339674	340751	1077	-
gene	YBR054W	gene	II	343100	344135	1035	+
gene	YBR055C	gene	II	344601	347301	2700	-
tRNA_gene	tL%28UAA%29B2	tRNA_gene	II	347602	347686	84	+
gene	YBR056W	gene	II	347878	349384	1506	+
transposable_elements	YBRWdelta17	long_terminal_repeat	II	350458	350751	293	+
tRNA_gene	tQ%28UUG%29B	tRNA_gene	II	350826	350898	72	+
gene	YBR056W-A	gene	II	351254	351455	201	+
gene	YBR056C-B	gene	II	351292	351451	159	-
gene	YBR057C	gene	II	352192	353293	1101	-
gene	YBR058C	gene	II	353671	356017	2346	-
gene	YBR058C-A	gene	II	356323	356566	243	-
gene	YBR059C	gene	II	356860	360187	3327	-
gene	YBR060C	gene	II	360651	362514	1863	-
gene	YBR061C	gene	II	364786	365719	933	-
gene	YBR062C	gene	II	365975	366600	625	-
gene	YBR063C	gene	II	366969	368184	1215	-
gene	YBR064W	gene	II	367762	368191	429	+
gene	YBR065C	gene	II	368583	369678	1095	-
gene	YBR066C	gene	II	370036	370699	663	-
gene	YBR067C	gene	II	372102	372735	633	-
gene	YBR068C	gene	II	373860	375690	1830	-
gene	YBR069C	gene	II	376573	378433	1860	-
Replication_origins	ARS212	ARS	II	379220	379912	692	.
gene	YBR070C	gene	II	379220	379934	714	-
gene	YBR071W	gene	II	380410	381046	636	+
gene	YBR072W	gene	II	382029	382674	645	+
gene	YBR072C-A	gene	II	382859	383021	162	-
gene	YBR073W	gene	II	383111	385988	2877	+
gene	YBR074W	gene	II	386285	389216	2931	+
Replication_origins	ARS213	ARS	II	389211	390371	1160	.
gene	YBR076W	gene	II	390226	391291	1065	+
gene	YBR076C-A	gene	II	391350	391617	267	-
gene	YBR077C	gene	II	391804	392293	489	-
gene	YBR078W	gene	II	393122	394742	1620	+
gene	YBR079C	gene	II	395382	398277	2895	-
gene	YBR080C	gene	II	398613	400890	2277	-
gene	YBR081C	gene	II	401252	405251	3999	-
tRNA_gene	tR%28UCU%29B	tRNA_gene	II	405877	405949	72	+
tRNA_gene	tD%28GUC%29B	tRNA_gene	II	405959	406031	72	+
gene	YBR082C	gene	II	406627	407169	542	-
Replication_origins	ARS214	ARS	II	407952	408068	116	.
Replication_origins	ARS214_ARS_consensus_sequence	ARS_consensus_sequence	II	407987	408004	17	-
gene	YBR083W	gene	II	409168	410629	1461	+
gene	YBR084W	gene	II	411053	413981	2928	+
gene	YBR084C-A	gene	II	414185	415261	1076	-
gene	YBR085W	gene	II	415982	416906	924	+
Replication_origins	ARS215	ARS	II	417783	418079	296	.
gene	YBR085C-A	gene	II	418906	419164	258	-
gene	YBR086C	gene	II	420200	423041	2841	-
gene	YBR087W	gene	II	423764	424829	1065	+
gene	YBR088C	gene	II	424989	425766	777	-
gene	YBR089W	gene	II	425182	425782	600	+
gene	YBR089C-A	gene	II	426189	426873	684	-
gene	YBR090C	gene	II	426332	427058	726	-
gene	YBR091C	gene	II	427154	427484	330	-
gene	YBR092C	gene	II	427697	429101	1404	-
gene	YBR093C	gene	II	429547	430951	1404	-
gene	YBR094W	gene	II	432035	434297	2262	+
gene	YBR095C	gene	II	434405	435698	1293	-
gene	YBR096W	gene	II	436020	436713	693	+
gene	YBR097W	gene	II	436950	441315	4365	+
gene	YBR098W	gene	II	441514	443590	2076	+
gene	YBR099C	gene	II	442923	443307	384	-
gene	YBR101C	gene	II	443820	444693	873	-
gene	YBR102C	gene	II	445061	447323	2262	-
gene	YBR103W	gene	II	447708	449316	1608	+
gene	YBR103C-A	gene	II	449319	449463	144	-
gene	YBR104W	gene	II	449666	450656	990	+
gene	YBR105C	gene	II	450880	451969	1089	-
gene	YBR106W	gene	II	452657	453224	567	+
gene	YBR107C	gene	II	453792	454530	738	-
gene	YBR108W	gene	II	454821	457665	2844	+
gene	YBR109C	gene	II	457918	458362	444	-
gene	YBR109W-A	gene	II	458607	458832	225	+
gene	YBR110W	gene	II	458871	460221	1350	+
gene	YBR111C	gene	II	461177	461873	696	-
gene	YBR111W-A	gene	II	462138	462579	441	+
gene	YBR112C	gene	II	462869	465770	2901	-
gene	YBR113W	gene	II	465565	466048	483	+
gene	YBR114W	gene	II	467247	469620	2373	+
gene	YBR115C	gene	II	469747	473926	4179	-
gene	YBR116C	gene	II	474198	474726	528	-
gene	YBR117C	gene	II	474391	476437	2046	-
gene	YBR118W	gene	II	477670	479047	1377	+
gene	YBR119W	gene	II	479337	480323	986	+
gene	YBR120C	gene	II	480434	480923	489	-
gene	YBR121C	gene	II	481363	483367	2004	-
gene	YBR121C-A	gene	II	482325	482484	159	-
gene	YBR122C	gene	II	483969	484503	534	-
gene	YBR123C	gene	II	484741	486691	1950	-
gene	YBR124W	gene	II	486506	486866	360	+
Replication_origins	ARS216	ARS	II	486706	486954	248	.
Replication_origins	ARS216_ARS_consensus_sequence	ARS_consensus_sequence	II	486842	486859	17	-
gene	YBR125C	gene	II	487198	488380	1182	-
gene	YBR126C	gene	II	488904	490392	1488	-
gene	YBR126W-A	gene	II	490849	491056	207	+
gene	YBR126W-B	gene	II	490926	491070	144	+
gene	YBR127C	gene	II	491268	492822	1554	-
gene	YBR128C	gene	II	493080	494115	1035	-
gene	YBR129C	gene	II	494352	495339	987	-
gene	YBR130C	gene	II	495591	496869	1278	-
gene	YBR131W	gene	II	497162	499277	2115	+
gene	YBR131C-A	gene	II	497649	497739	90	-
gene	YBR132C	gene	II	499651	501442	1791	-
gene	YBR133C	gene	II	501803	504287	2484	-
gene	YBR134W	gene	II	504242	504644	402	+
gene	YBR135W	gene	II	504853	505306	453	+
gene	YBR136W	gene	II	505667	512774	7107	+
gene	YBR137W	gene	II	513043	513583	540	+
gene	YBR138C	gene	II	513761	515336	1575	-
gene	YBR139W	gene	II	515663	517190	1527	+
