chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM,abundance,
XII,627117,628197,YLR246W,0,+,3164,1080,1080,391.6860123,preferentially_represented,
VII,786053,786920,YGR147C,0,-,2537,867,867,391.2251024,preferentially_represented,
V,359561,360314,YER100W,0,+,2185,753,753,387.9554063,preferentially_represented,
XV,371684,371957,YOR020W-A,0,+,777,273,273,380.5254559,not_preferential,
IV,256632,258555,YDL113C,0,-,5436,1923,1923,377.9423046,not_preferential,
XIV,529941,531411,YNL053W,0,+,4140,1470,1470,376.5375995,not_preferential,
IV,188153,190586,YDL148C,0,-,6665,2433,2433,366.254853,not_preferential,
V,201521,201734,YER023C-A,0,-,577,213,213,362.177572,not_preferential,
IV,1438114,1441150,YDR495C,0,-,8197,3036,3036,360.976152,not_preferential,
XVI,445841,450377,YPL058C,0,-,12139,4536,4536,357.7957756,not_preferential,
XII,224920,225172,YLR038C,0,-,673,252,252,357.0589032,not_preferential,
XI,114355,114694,YKL177W,0,+,905,339,339,356.9227448,not_preferential,
XV,370523,370844,YOR020C,0,-,849,321,321,353.6128194,not_preferential,
VII,693362,694403,YGR101W,0,+,2733,1041,1041,351.0057617,not_preferential,
IV,22470,22608,YDL240C-A,0,-,355,138,138,343.9336034,not_preferential,
XIV,765374,769376,YNR070W,0,+,10134,4002,4002,338.5549429,not_preferential,
IV,16203,17226,YDL244W,0,+,2584,1023,1023,337.7086765,not_preferential,
VIII,69707,70070,YHL018W,0,+,897,363,363,330.3780315,not_preferential,
XI,110463,112503,YKL179C,0,-,5011,2040,2040,328.4124241,not_preferential,
VII,796091,796745,YGR153W,0,+,1599,654,654,326.8858026,not_preferential,
XVI,223142,224036,YPL173W,0,+,2184,894,894,326.6182582,not_preferential,
XI,107315,108599,YKL181W,0,+,3111,1284,1284,323.9368319,not_preferential,
IV,18958,19312,YDL242W,0,+,839,354,354,316.8721291,not_preferential,
X,586399,586750,YJR087W,0,+,822,351,351,313.1050298,not_preferential,
XIV,413638,416281,YNL112W,0,+,6176,2643,2643,312.4175824,not_preferential,
VII,698988,699786,YGR106C,0,-,1864,798,798,312.2973937,not_preferential,
XII,896373,897672,YLR387C,0,-,3020,1299,1299,310.8301479,not_preferential,
X,586067,586400,YJR086W,0,+,774,333,333,310.757823,not_preferential,
VII,261647,265859,YGL131C,0,-,9716,4212,4212,308.4071846,not_preferential,
VII,591313,591877,YGR049W,0,+,1292,564,564,306.2730284,not_preferential,
XII,626501,626930,YLR245C,0,-,974,429,429,303.5477429,not_preferential,
VIII,78935,80417,YHL012W,0,+,3266,1482,1482,294.641095,not_preferential,
XV,368126,370319,YOR019W,0,+,4775,2193,2193,291.1119862,not_preferential,
X,585119,585437,YJR085C,0,-,692,318,318,290.9405916,not_preferential,
XI,113214,114627,YKL178C,0,-,3073,1413,1413,290.7674191,not_preferential,
V,360501,361794,YER101C,0,-,2809,1293,1293,290.4547997,not_preferential,
VII,589825,590911,YGR048W,0,+,2347,1086,1086,288.9406248,not_preferential,
IV,1436929,1438015,YDR494W,0,+,2316,1086,1086,285.1241955,not_preferential,
XII,229965,230451,YLR042C,0,-,1034,486,486,284.4524067,not_preferential,
XVI,933897,934461,YPR197C,0,-,1195,564,564,283.2788459,not_preferential,
XII,225425,228596,YLR039C,0,-,6613,3171,3171,278.8223761,not_preferential,
XVI,457117,458458,YPL053C,0,-,2772,1341,1341,276.3692954,not_preferential,
IV,17576,18566,YDL243C,0,-,2022,990,990,273.0683083,not_preferential,
XII,229376,229697,YLR041W,0,+,652,321,321,271.5613172,not_preferential,
VII,592085,592442,YGR050C,0,-,714,357,357,267.3962663,not_preferential,
IV,1456310,1456694,YDR504C,0,-,762,384,384,265.307233,not_preferential,
XV,116395,117454,YOL104C,0,-,2073,1059,1059,261.7150425,not_preferential,
IV,20634,21006,YDL241W,0,+,728,372,372,261.645809,not_preferential,
XIV,368594,370055,YNL137C,0,-,2836,1461,1461,259.5262872,not_preferential,
XVI,934033,935665,YPR198W,0,+,3138,1632,1632,257.073984,not_preferential,
VII,586391,589469,YGR047C,0,-,5906,3078,3078,256.5370937,not_preferential,
VII,796797,797868,YGR154C,0,-,2055,1071,1071,256.5356336,not_preferential,
IV,508146,509109,YDR033W,0,+,1841,963,963,255.5952888,not_preferential,
XVI,444578,445031,YPL059W,0,+,855,453,453,252.3441586,not_preferential,
XIII,733544,736634,YMR231W,0,+,5809,3090,3090,251.3438367,not_preferential,
XII,903065,903404,YLR390W,0,+,631,339,339,248.8599469,not_preferential,
IV,248580,251238,YDL117W,0,+,4934,2658,2658,248.1815609,not_preferential,
XIII,736925,738959,YMR232W,0,+,3775,2034,2034,248.136899,not_preferential,
X,63804,67569,YJL197W,0,+,6978,3765,3765,247.7943089,not_preferential,
V,201075,201936,YER023W,0,+,1579,861,861,245.1908853,not_preferential,
XIII,684466,685798,YMR208W,0,+,2438,1332,1332,244.7117482,not_preferential,
IV,509736,512109,YDR034C,0,-,4332,2373,2373,244.0709283,not_preferential,
IV,258914,263225,YDL112W,0,+,7792,4311,4311,241.6552664,not_preferential,
XVI,224352,225741,YPL172C,0,-,2468,1389,1389,237.5572301,not_preferential,
XII,625167,626331,YLR244C,0,-,2055,1164,1164,236.0392299,not_preferential,
XV,888519,888750,YOR304C-A,0,-,405,231,231,234.4058179,not_preferential,
XIII,790204,793369,YMR261C,0,-,5504,2662,3165,232.5037993,not_preferential,
X,583732,585004,YJR084W,0,+,2212,1272,1272,232.5002127,not_preferential,
IV,1441432,1443403,YDR496C,0,-,3409,1971,1971,231.2414693,not_preferential,
X,586494,587373,YJR088C,0,-,1520,879,879,231.1958616,not_preferential,
IV,190923,192261,YDL147W,0,+,2297,1338,1338,229.525121,not_preferential,
XII,909728,909965,YLR395C,0,-,406,237,237,229.0356205,not_preferential,
IV,337486,338070,YDL064W,0,+,991,584,584,226.8747431,not_preferential,
VII,690244,693097,YGR100W,0,+,4819,2853,2853,225.8294089,not_preferential,
XIII,732413,733141,YMR230W,0,+,1225,728,728,224.9728202,not_preferential,
XIV,410118,412053,YNL115C,0,-,3256,1935,1935,224.9721558,not_preferential,
IV,184924,187918,YDL149W,0,+,5012,2994,2994,223.8126397,not_preferential,
V,202191,204963,YER024W,0,+,4623,2772,2772,222.9749169,not_preferential,
III,199292,199418,YCR038W-A,0,+,209,126,126,221.7691256,not_preferential,
IX,222936,225954,YIL073C,0,-,5000,3018,3018,221.5012146,not_preferential,
XII,899576,902660,YLR389C,0,-,5080,3084,3084,220.2290909,not_preferential,
XIII,739184,739865,YMR233W,0,+,1116,681,681,219.1000244,not_preferential,
VII,592905,593229,YGR051C,0,-,530,324,324,218.7037363,not_preferential,
XII,893627,896270,YLR386W,0,+,4307,2643,2643,217.8728186,not_preferential,
XIII,353870,354731,YMR043W,0,+,1389,861,861,215.6872322,not_preferential,
IX,221080,222490,YIL074C,0,-,2247,1410,1410,213.0636207,not_preferential,
IV,22822,25876,YDL240W,0,+,4849,3054,3054,212.2797144,not_preferential,
V,140725,140818,YEL008C-A,0,-,147,93,93,211.3293072,not_preferential,
XII,228907,229582,YLR040C,0,-,1050,675,675,207.9748738,not_preferential,
X,587717,590582,YJR089W,0,+,4447,2865,2865,207.523769,not_preferential,
V,198811,200875,YER022W,0,+,3178,2064,2064,205.8588504,not_preferential,
II,482325,482484,YBR121C-A,0,-,244,159,159,205.1719779,not_preferential,
XIII,312155,315005,YMR019W,0,+,4354,2850,2850,204.2532181,not_preferential,
V,355465,357730,YER098W,0,+,3458,2265,2265,204.1183861,not_preferential,
XIV,366740,368321,YNL138W,0,+,2411,1581,1581,203.8875389,not_preferential,
X,581913,582255,YJR082C,0,-,521,342,342,203.6746414,not_preferential,
V,178840,182278,YER013W,0,+,5018,3438,3438,195.1417196,not_preferential,
V,182599,184219,YER014W,0,+,2319,1620,1620,191.3864017,not_preferential,
XII,622917,623883,YLR242C,0,-,1382,966,966,191.2741408,not_preferential,
V,177834,178431,YER012W,0,+,829,597,597,185.6545266,not_preferential,
IV,844553,844952,YDR193W,0,+,554,399,399,185.6360044,not_preferential,
XV,889021,889750,YOR305W,0,+,999,729,729,183.2159602,not_preferential,
IV,1455041,1455866,YDR503C,0,-,1127,825,825,182.6397528,not_preferential,
X,67849,68782,YJL196C,0,-,1271,933,933,182.1332553,not_preferential,
VII,798542,800066,YGR155W,0,+,2066,1524,1524,181.2469443,not_preferential,
IV,338271,340134,YDL063C,0,-,2515,1863,1863,180.4888915,not_preferential,
VII,266144,267524,YGL130W,0,+,1847,1380,1380,178.9423565,not_preferential,
IV,955132,955333,YDR246W-A,0,+,269,201,201,178.9293424,not_preferential,
XIII,355383,356811,YMR044W,0,+,1911,1428,1428,178.9195605,not_preferential,
XIII,740265,741312,YMR234W,0,+,1393,1047,1047,177.8810883,not_preferential,
IV,954287,954947,YDR246W,0,+,878,660,660,177.8590317,not_preferential,
XV,372797,373439,YOR021C,0,-,843,642,642,175.5568945,not_preferential,
VII,593595,594705,YGR052W,0,+,1455,1110,1110,175.2529583,not_preferential,
VIII,67730,69548,YHL019C,0,-,2365,1818,1818,173.9252392,not_preferential,
XII,222684,223059,YLR037C,0,-,469,375,375,167.2117985,not_preferential,
V,183730,184700,YER014C-A,0,-,1200,970,970,165.3997523,not_preferential,
XVI,938147,939032,YPR199C,0,-,1091,885,885,164.8188285,not_preferential,
VIII,67710,68304,YHL019W-A,0,+,730,594,594,164.3091535,not_preferential,
X,582607,583537,YJR083C,0,-,1138,930,930,163.6005113,not_preferential,
XVI,35235,37845,YPL268W,0,+,3126,2610,2610,160.1304077,not_preferential,
V,175247,176012,YER011W,0,+,913,765,765,159.5639158,not_preferential,
IX,78073,80149,YIL144W,0,+,2451,2076,2076,157.8488075,not_preferential,
XII,494493,495258,YLR165C,0,-,899,765,765,157.1171525,not_preferential,
XII,231701,232013,YLR043C,0,-,366,312,312,156.8381947,not_preferential,
XVI,226168,227371,YPL171C,0,-,1399,1203,1203,155.4810376,not_preferential,
XIV,157643,157865,YNL259C,0,-,258,222,222,155.3789115,not_preferential,
IV,840603,841995,YDR190C,0,-,1611,1392,1392,154.7325377,not_preferential,
IV,339856,340282,YDL062W,0,+,493,426,426,154.7257738,not_preferential,
VIII,214507,214702,YHR054W-A,0,+,224,195,195,153.5814453,not_preferential,
IV,838391,840392,YDR189W,0,+,2293,2001,2001,153.2083055,not_preferential,
IX,217862,220700,YIL075C,0,-,3241,2838,2838,152.6834565,not_preferential,
XVI,218629,220088,YPL175W,0,+,1663,1459,1459,152.3920462,not_preferential,
VII,230242,232348,YGL145W,0,+,2400,2106,2106,152.3625449,not_preferential,
IV,336248,337277,YDL065C,0,-,1172,1029,1029,152.2781458,not_preferential,
IV,843568,844861,YDR192C,0,-,1466,1293,1293,151.5865918,not_preferential,
IV,488071,488662,YDR022C,0,-,670,591,591,151.5697956,not_preferential,
XVI,939278,939671,YPR200C,0,-,444,393,393,151.0482726,not_preferential,
VIII,80653,81616,YHL011C,0,-,1084,963,963,150.4971717,not_preferential,
VIII,214532,214718,YHR055C,0,-,209,186,186,150.230698,not_preferential,
XII,903723,904440,YLR390W-A,0,+,801,717,717,149.3615128,not_preferential,
IV,1453309,1454464,YDR502C,0,-,1266,1155,1155,146.5470446,not_preferential,
XV,889866,891432,YOR306C,0,-,1712,1566,1566,146.1629655,not_preferential,
XVI,458798,459678,YPL052W,0,+,960,880,880,145.8525089,not_preferential,
IV,247301,247682,YDL118W,0,+,415,381,381,145.6292001,not_preferential,
IV,1456694,1459220,YDR505C,0,-,2729,2526,2526,144.4426783,not_preferential,
III,293834,294321,YCR097W,0,+,519,487,487,142.4832261,not_preferential,
VIII,66241,67456,YHL020C,0,-,1287,1215,1215,141.6209855,not_preferential,
VIII,212534,212720,YHR053C,0,-,197,186,186,141.605012,not_preferential,
IV,394216,397204,YDL031W,0,+,3164,2988,2988,141.5732575,not_preferential,
IX,216657,217548,YIL076W,0,+,938,891,891,140.7506722,not_preferential,
VIII,407102,410789,YHR155W,0,+,3876,3687,3687,140.5516583,not_preferential,
V,425187,430449,YER132C,0,-,5531,5262,5262,140.5329484,not_preferential,
XV,364368,366882,YOR018W,0,+,2584,2514,2514,137.4208338,not_preferential,
XV,877229,877685,YOR298C-A,0,-,467,456,456,136.9233074,not_preferential,
XVI,773874,775182,YPR120C,0,-,1329,1308,1308,135.8446628,not_preferential,
IV,842336,843449,YDR191W,0,+,1124,1113,1113,135.0194983,not_preferential,
V,540649,540814,YER175W-A,0,+,166,165,165,134.5084249,not_preferential,
VIII,212509,212704,YHR052W-A,0,+,196,195,195,134.3837646,not_preferential,
IV,169365,169608,YDL160C-A,0,-,243,243,243,133.6981331,not_preferential,
IV,952799,953981,YDR245W,0,+,1178,1182,1182,133.245686,not_preferential,
III,200910,201243,YCR041W,0,+,330,333,333,132.4936455,not_preferential,
XVI,778582,780301,YPR121W,0,+,1702,1719,1719,132.3759294,not_preferential,
XV,874742,875321,YOR297C,0,-,573,579,579,132.3126603,not_preferential,
XIV,366032,366412,YNL138W-A,0,+,376,380,380,132.2907844,not_preferential,
XIII,455824,457261,YMR094W,0,+,1410,1437,1437,131.1860597,not_preferential,
II,800122,800242,YBR296C-A,0,-,117,120,120,130.3556798,not_preferential,
VIII,13564,14272,YHL044W,0,+,687,708,708,129.7325106,not_preferential,
VII,232449,234507,YGL144C,0,-,1985,2058,2058,128.9556824,not_preferential,
XIII,169115,169754,YML053C,0,-,614,639,639,128.4673768,not_preferential,
XII,294090,296094,YLR083C,0,-,1923,2004,2004,128.2941667,not_preferential,
XV,875598,877038,YOR298W,0,+,1375,1440,1440,127.663148,not_preferential,
IX,193594,195070,YIL090W,0,+,1398,1476,1476,126.6327846,not_preferential,
IV,1459727,1461554,YDR506C,0,-,1717,1827,1827,125.6484371,not_preferential,
V,184540,186775,YER015W,0,+,2097,2235,2235,125.4429464,not_preferential,
VII,584894,586052,YGR046W,0,+,1083,1158,1158,125.0389276,not_preferential,
IV,836420,838061,YDR188W,0,+,1534,1641,1641,124.9804608,not_preferential,
IV,830396,830654,YDR183C-A,0,-,241,258,258,124.8885662,not_preferential,
XI,100670,106826,YKL182W,0,+,5746,6036,6156,124.7936116,not_preferential,
II,480434,480923,YBR120C,0,-,455,489,489,124.4021484,not_preferential,
IX,195598,196216,YIL089W,0,+,569,618,618,123.0974721,not_preferential,
XIII,486586,490246,YMR109W,0,+,3361,3660,3660,122.7757993,not_preferential,
XII,221520,222132,YLR036C,0,-,562,612,612,122.7750831,not_preferential,
XIII,78334,79690,YML097C,0,-,1245,1356,1356,122.7538169,not_preferential,
V,423590,424311,YER131W,0,+,661,721,721,122.5720749,not_preferential,
XVI,931375,932788,YPR196W,0,+,1292,1413,1413,122.2491069,not_preferential,
XIII,352602,353136,YMR042W,0,+,488,534,534,122.1810655,not_preferential,
IV,603592,603811,YDR079C-A,0,-,200,219,219,122.0987517,not_preferential,
VII,267722,269075,YGL129C,0,-,1232,1353,1353,121.7413895,not_preferential,
XII,141072,142923,YLL004W,0,+,1679,1851,1851,121.2745357,not_preferential,
II,144947,145031,YBL039C-A,0,-,76,84,84,120.9649776,not_preferential,
XII,910234,912310,YLR396C,0,-,1872,2076,2076,120.5601663,not_preferential,
V,362732,363702,YER102W,0,+,872,970,970,120.1904867,not_preferential,
XII,185497,187129,YLR023C,0,-,1465,1632,1632,120.0170129,not_preferential,
VIII,64461,65859,YHL021C,0,-,1254,1398,1398,119.9266516,not_preferential,
XIII,315376,316903,YMR020W,0,+,1368,1527,1527,119.7767165,not_preferential,
IV,956012,957398,YDR247W,0,+,1233,1386,1386,118.9392483,not_preferential,
VIII,27977,32756,YHL035C,0,-,4248,4779,4779,118.842785,not_preferential,
IV,1043145,1045011,YDR292C,0,-,1655,1866,1866,118.5800699,not_preferential,
IV,486803,488003,YDR021W,0,+,1063,1200,1200,118.4342629,not_preferential,
VIII,401433,401955,YHR152W,0,+,460,522,522,117.8182783,not_preferential,
XII,892991,893390,YLR385C,0,-,351,399,399,117.6141472,not_preferential,
IV,832858,835492,YDR186C,0,-,2305,2634,2634,116.9985562,not_preferential,
XV,355651,355858,YOR011W-A,0,+,181,207,207,116.9051309,not_preferential,
IV,167713,169078,YDL161W,0,+,1190,1365,1365,116.5573468,not_preferential,
XIV,370367,371645,YNL136W,0,+,1098,1278,1278,114.8674102,not_preferential,
XII,187662,193281,YLR024C,0,-,4823,5619,5619,114.7581591,not_preferential,
XIII,457284,457959,YMR095C,0,-,579,675,675,114.6832875,not_preferential,
IV,1105002,1105827,YDR319C,0,-,707,825,825,114.5752486,not_preferential,
X,590871,594327,YJR090C,0,-,2949,3456,3456,114.0844313,not_preferential,
II,143392,143572,YBL039W-B,0,+,153,180,180,113.6434132,not_preferential,
VIII,213184,214249,YHR054C,0,-,903,1065,1065,113.3609523,not_preferential,
IV,836227,836746,YDR187C,0,-,439,519,519,113.0895577,not_preferential,
V,140511,140892,YEL008W,0,+,322,381,381,112.9942228,not_preferential,
IV,1451352,1452918,YDR501W,0,+,1323,1566,1566,112.9518711,not_preferential,
II,527166,527262,YBR141W-A,0,+,81,96,96,112.8077998,not_preferential,
XIII,779628,782031,YMR257C,0,-,2014,2403,2403,112.054948,not_preferential,
VIII,33175,33637,YHL034W-A,0,+,387,462,462,111.9938908,not_preferential,
XIV,156858,157455,YNL260C,0,-,498,597,597,111.5270859,not_preferential,
XV,880574,880883,YOR300W,0,+,257,309,309,111.1987709,not_preferential,
II,481363,483367,YBR121C,0,-,1662,2004,2004,110.8813859,not_preferential,
VIII,402085,402682,YHR153C,0,-,495,597,597,110.855236,not_preferential,
VII,594985,595837,YGR053C,0,-,705,825,852,110.6304975,not_preferential,
X,60843,63489,YJL198W,0,+,2186,2646,2646,110.4550715,not_preferential,
XIV,71672,76583,YNL297C,0,-,4033,4832,4911,109.79527,not_preferential,
VII,800545,801823,YGR156W,0,+,1049,1278,1278,109.7412689,not_preferential,
IV,503497,503863,YDR031W,0,+,300,366,366,109.5886337,not_preferential,
XII,907949,909398,YLR394W,0,+,1181,1449,1449,108.969976,not_preferential,
IV,604007,606986,YDR080W,0,+,2426,2979,2979,108.8793793,not_preferential,
XIII,905661,905973,YMR316C-A,0,-,254,312,312,108.843993,not_preferential,
X,580431,581616,YJR080C,0,-,962,1185,1185,108.5380625,not_preferential,
XIII,317164,318418,YMR021C,0,-,1016,1254,1254,108.3232084,not_preferential,
IV,831933,832473,YDR185C,0,-,437,540,540,108.1964522,not_preferential,
II,479337,480323,YBR119W,0,+,794,986,986,107.6636082,not_preferential,
XIII,310207,311752,YMR018W,0,+,1229,1545,1545,106.3527545,not_preferential,
IV,1443712,1445467,YDR497C,0,-,1394,1755,1755,106.1966938,not_preferential,
IX,226601,228419,YIL072W,0,+,1443,1818,1818,106.1201354,not_preferential,
VI,119428,123106,YFL008W,0,+,2918,3678,3678,106.0715477,not_preferential,
XV,751475,751895,YOR218C,0,-,333,420,420,106.0035199,not_preferential,
XII,490405,490594,YLR162W-A,0,+,149,189,189,105.402232,not_preferential,
XVI,324410,326264,YPL119C,0,-,1461,1854,1854,105.3575904,not_preferential,
XII,907078,907918,YLR393W,0,+,661,840,840,105.2076976,not_preferential,
IV,957757,958339,YDR248C,0,-,454,582,582,104.2937327,not_preferential,
IV,393689,394001,YDL032W,0,+,243,312,312,104.1302768,not_preferential,
XIII,318679,319177,YMR022W,0,+,387,494,498,103.8979468,not_preferential,
XIII,77266,77770,YML098W,0,+,391,504,504,103.7221628,not_preferential,
XII,493882,494389,YLR164W,0,+,393,507,507,103.635831,not_preferential,
III,197620,199549,YCR038C,0,-,1493,1929,1929,103.4791668,not_preferential,
IV,1103757,1104947,YDR318W,0,+,921,1190,1190,103.475614,not_preferential,
III,231499,232963,YCR066W,0,+,1133,1464,1464,103.469935,not_preferential,
IV,167358,167715,YDL162C,0,-,275,357,357,102.988758,not_preferential,
IX,76353,77283,YIL145C,0,-,713,930,930,102.5019021,not_preferential,
IV,334834,336121,YDL066W,0,+,975,1287,1287,101.2864645,not_preferential,
IV,1450197,1450853,YDR500C,0,-,496,656,656,101.0888324,not_preferential,
II,497649,497739,YBR131C-A,0,-,68,90,90,101.0163673,not_preferential,
XIII,79908,81486,YML096W,0,+,1186,1578,1578,100.4854157,not_preferential,
IV,246688,247612,YDL119C,0,-,693,924,924,100.2735999,not_preferential,
XV,878434,880675,YOR299W,0,+,1679,2241,2241,100.1691948,not_preferential,
IV,340627,341219,YDL061C,0,-,443,592,592,100.0477584,not_preferential,
X,580204,581239,YJR079W,0,+,770,1035,1035,99.46624398,not_preferential,
VII,269292,270144,YGL128C,0,-,632,852,852,99.17514102,not_preferential,
IV,845951,847946,YDR194C,0,-,1467,1995,1995,98.31336407,not_preferential,
IV,392658,393912,YDL033C,0,-,922,1254,1254,98.30117924,not_preferential,
XV,774572,775259,YOR232W,0,+,502,687,687,97.69499686,not_preferential,
IV,830628,831513,YDR184C,0,-,646,885,885,97.59208363,not_preferential,
VIII,12501,12849,YHL045W,0,+,254,348,348,97.5842696,not_preferential,
XIV,155099,156539,YNL261W,0,+,1045,1440,1440,97.02399246,not_preferential,
XIII,851421,851769,YMR290W-A,0,+,252,348,348,96.81588952,not_preferential,
IV,334216,334396,YDL067C,0,-,130,180,180,96.55976283,not_preferential,
XV,472724,473369,YOR078W,0,+,461,645,645,95.55789051,not_preferential,
IV,1219508,1219613,YDR371C-A,0,-,75,105,105,95.49866653,not_preferential,
III,201173,205397,YCR042C,0,-,3013,4224,4224,95.36753674,not_preferential,
IV,11656,13360,YDL245C,0,-,1215,1704,1704,95.33053508,not_preferential,
XIII,490393,491992,YMR110C,0,-,1132,1599,1599,94.65058582,not_preferential,
IV,504098,504695,YDR032C,0,-,422,597,597,94.50688809,not_preferential,
XII,912549,914892,YLR397C,0,-,1645,2343,2343,93.86830091,not_preferential,
XVI,228313,228772,YPL170W,0,+,322,459,459,93.79259014,not_preferential,
VIII,411383,412406,YHR156C,0,-,717,1023,1023,93.70631619,not_preferential,
VII,139718,139961,YGL194C-A,0,-,170,243,243,93.53367339,not_preferential,
IX,214990,215953,YIL077C,0,-,672,963,963,93.29713964,not_preferential,
II,483969,484503,YBR122C,0,-,372,534,534,93.13802534,not_preferential,
XIII,146481,147249,YML063W,0,+,534,768,768,92.9619832,not_preferential,
IV,489507,490896,YDR023W,0,+,954,1389,1389,91.82722752,not_preferential,
